"probeset","qvalue_16h","most_associated_marker_16h","qvalue_32h","most_associated_marker_32h","bb4_expression_pattern","description"
"Contig13118_at",2.7e-06,"7H.25",7.35e-07,"7H.25","n/a"," 11/08/02 NP_565380.1  3e-29 (NM_127140) expressed protein; protein id: At2g15780.1"
"Contig13119_at",0.036117775,"6H.44",3.04e-05,"1H.05","n/a","11/04/02 NP_187176.1  1e-24 (NM_111398) unknown protein; protein id: At3g05250.1 [Arabidopsis thaliana]"
"Contig13120_at",0.043033373,"3H.44",0.094363929,"3H.29","n/a","11/08/02 NP_200933.2  8e-55 (NM_125518) glycosyl hydrolase family 79 (endo-beta-glucuronidase/heparanase); protein id:"
"Contig13124_at",0.018001419,"2H.67",0.17285174,"2H.68","n/a","10/13/02 T50928       8e-64 calmodulin-binding protein [imported] - Arabidopsis thaliana gb|AAF28347.1| (AF217546) calmodulin-binding protein [Arabidopsis thaliana]"
"Contig13125_at",0.004887991,"2H.67",0.05254939,"1H.05","n/a"," 11/06/02 BAC15791.1   1e-87 (AP003259) contains ESTs AU094755(E31367)"
"Contig13126_at",0.129650839,"7H.50",0.197804893,"2H.01","n/a","11/08/02 NP_190996.1  1e-73 (NM_115288) TATA box binding protein (TBP) associated factor (TAF) -like protein; protein id: At3g54280.1 [Arabidopsis"
"Contig13127_at",2.7e-06,"2H.63",5.71e-06,"5H.26","n/a","<none>"
"Contig13128_at",0.01015512,"7H.25",0.001286342,"7H.22","n/a","10/27/02 NP_175382.1  1e-38 (NM_103847) unknown protein; protein id: At1g49590.1 [Arabidopsis thaliana]"
"Contig13129_at",0.232804034,"4H.10",0.240265334,"7H.33","n/a","10/25/02 BAB40172.1   7e-036 putative OsGAI [Oryza sativa (japonica cultivar-group)] dbj|BAC05533.1| putative OsGAI [Oryza sativa (japonica cultivar-group)]"
"Contig13130_at",0.009587677,"2H.67",1.67e-05,"1H.05","iPacMan","11/06/02 P46605       2e-33 Homeobox protein HOX1A pir||S25237 homeotic protein Hox1a - maize"
"Contig13131_at",2.75e-05,"2H.66",0.00286838,"1H.09","n/a","11/06/02 CAD41335.1   4e-15 (AL662946) oj991113_30.17 [Oryza sativa (japonica cultivar-group)]"
"Contig13134_at",0.338733217,"2H.21",0.000415018,"1H.05","n/a"," 11/07/02 NP_191112.1  6e-35 putative protein; protein id: At3g55530.1"
"Contig13136_at",0.000950173,"2H.65",7.35e-07,"5H.14","n/a","10/02/02 AAD32567.1   5e-13 NT3 [Nicotiana tabacum]"
"Contig13137_at",0.263165735,"4H.18",0.132964381,"7H.41","n/a","<none>"
"Contig13137_s_at",0.031615311,"2H.68",0.000321168,"1H.05","iPacMan","<none>"
"Contig13138_at",0.010025552,"2H.66",7.35e-07,"1H.05","iPacMan","10/02/02 AAK97773.1   1e-57 (AY044844) starch synthase isoform IV [Triticum aestivum]"
"Contig13139_at",1.99e-06,"7H.02",7.35e-07,"7H.02","n/a","11/08/02 AAL11573.1   4e-69 (AF424579) AT4g16570/dl4310w [Arabidopsis thaliana] gb|AAN18172.1| (BT000603) At4g16570/dl4310w [Arabidopsis thaliana]"
"Contig1314_s_at",0.002942701,"2H.63",0.000759443,"1H.06","iPacMan"," 11/08/02 P00228       2e-13 Ferredoxin"
"Contig13140_at",0.218819217,"7H.26",0.034777739,"1H.47","n/a","10/28/02 AAM08894.1   8e-010 (AC116926) Hypothetical protein [Oryza sativa (japonica cultivar-group)]"
"Contig13141_at",0.113876166,"2H.67",0.218902732,"6H.33","n/a","10/27/02 NP_194307.1  3e-63 (NM_118709) putative protein; protein id: At4g25770.1 [Arabidopsis thaliana]"
"Contig13143_at",2.7e-06,"2H.66",0.199583576,"3H.01","n/a","10/27/02 AAG13551.1   9e-27 unknown protein [Oryza sativa]"
"Contig13143_s_at",2.7e-06,"2H.67",0.134598892,"6H.22","n/a","10/27/02 AAG13551.1   9e-27 unknown protein [Oryza sativa]"
"Contig13144_at",0.000118134,"2H.66",7.35e-07,"1H.05","PacMan"," 10/13/02 NP_195974.2  e-105 (NM_120434) putative protein; protein id: At5g03540.1"
"Contig13145_at",2.7e-06,"6H.42",7.35e-07,"6H.42","n/a","11/06/02 AAM67211.1   2e-09 (AY088905) serine-rich protein [Arabidopsis thaliana]"
"Contig13146_at",0.0011967,"2H.66",7.35e-07,"1H.05","iPacMan"," 01/29/03 NP_567031.1  2e-78 putative protein; protein id: At3g56040.1"
"Contig13147_at",0.110641217,"2H.67",2.31e-05,"1H.05","n/a","11/07/02 BAB33279.1   3e-56 (AP003054) hypothetical protein [Oryza sativa (japonica cultivar-group)]"
"Contig13148_at",7.74e-05,"2H.66",7.35e-07,"1H.05","n/a","11/06/02 AAD37699.1   8e-12 (AF145730) homeodomain leucine zipper protein [Oryza sativa] [Oryza sativa (indica cultivar-group)]"
"Contig13149_at",0.134015514,"2H.19",0.049561706,"2H.02","n/a","10/29/02 AAG51576.1   1e-22 (AC027034) myosin-like protein; 97843-94399 [Arabidopsis thaliana]"
"Contig1315_s_at",0.080004536,"7H.35",7.35e-07,"7H.35","n/a","11/04/02 AAD10495.1   1e-52 delta-type tonoplast intrinsic protein [Triticum aestivum]"
"Contig13150_at",1.99e-06,"6H.23",7.35e-07,"6H.23","n/a","<none>"
"Contig13151_at",0.025771985,"5H.20",7.35e-07,"1H.05","n/a"," 11/04/02 NP_195936.1  6e-54 (NM_120394) putative protein; protein id: At5g03160.1"
"Contig13152_at",0.072809918,"2H.66",2.45e-05,"1H.05","n/a"," 11/06/02 BAA92713.1   e-108 ESTs AU033035(S1515)"
"Contig13153_at",0.019093364,"2H.66",0.003293611,"1H.03","n/a","11/04/02 AAK71536.1   4e-10 heterotrimeric G-protein gamma subunit 2 [Arabidopsis thaliana] gb|AAK71537.1|AF347078_1 heterotrimeric G-protein gamma subunit 2 [Arabidops"
"Contig13155_at",2.7e-06,"3H.34",0.001087465,"1H.05","n/a","11/06/02 BAB44080.1   1e-36 (AP003073) hypothetical protein [Oryza sativa (japonica cultivar-group)]"
"Contig13156_at",0.031612508,"2H.32",1.91e-05,"2H.29","n/a","10/13/02 CAD40825.1   3e-86 (AL606592) OSJNBa0006B20.16 [Oryza sativa (japonica cultivar-group)]"
"Contig13157_at",0.041292158,"2H.26",3.99e-05,"1H.06","n/a","10/13/02 CAD40825.1   4e-67 (AL606592) OSJNBa0006B20.16 [Oryza sativa (japonica cultivar-group)]"
"Contig13157_s_at",0.010072512,"2H.29",6.09e-05,"1H.08","n/a","10/13/02 CAD40825.1   4e-67 (AL606592) OSJNBa0006B20.16 [Oryza sativa (japonica cultivar-group)]"
"Contig13158_at",0.001122004,"2H.68",0.151241455,"6H.46","n/a","10/27/02 CAD41246.1   4e-61 (AL606627) OSJNBa0067K08.10 [Oryza sativa (japonica cultivar-group)]"
"Contig13159_at",4.53e-05,"2H.66",6.02e-05,"1H.04","PacMan","11/06/02 NP_186827.1  8e-83 (NM_111044) unknown protein; protein id: At3g01780.1 [Arabidopsis thaliana]"
"Contig13161_at",0.050944695,"5H.20",0.002529122,"1H.05","n/a","10/27/02 BAC05575.1   4e-69 protein phosphatase 2C-like protein [Oryza sativa (japonica cultivar-group)]"
"Contig13162_at",0.110655505,"6H.44",0.113664028,"2H.61","n/a"," 10/27/02 BAC07391.1   4e-99 (AP003842) hypothetical protein~similar to Arabidopsis thaliana chromosome 3"
"Contig13164_at",0.156381868,"3H.44",0.05066516,"1H.09","n/a","<none>"
"Contig13166_at",0.098698092,"3H.56",0.038624694,"1H.05","n/a"," 10/13/02 BAC05630.1   4e-66 (AP004365) hypothetical protein~similar to Arabidopsis thaliana chromosome 2"
"Contig13168_at",0.069848135,"6H.30",0.195716625,"6H.02","n/a","10/02/02 AAF78387.1   5e-46 T10O22.16 [Arabidopsis thaliana]"
"Contig13169_at",5.83e-06,"2H.67",0.091141438,"5H.40","n/a"," 11/06/02 NP_177812.1  2e-42 Sm-like protein; protein id: At1g76860.1"
"Contig1317_s_at",7.34e-05,"2H.66",1.3e-06,"1H.05","n/a","11/04/02 P81373       .006 Ferredoxin B (Fd B) pir||S28199 ferredoxin [2Fe-2S] B - giant taro"
"Contig13170_at",3.63e-06,"4H.27",0.000684857,"4H.31","n/a","01/29/03 BAC42752.1   2e-06 unknown protein [Arabidopsis thaliana]"
"Contig13170_s_at",1.99e-06,"4H.31",7.35e-07,"4H.31","n/a","01/29/03 BAC42752.1   2e-06 unknown protein [Arabidopsis thaliana]"
"Contig13171_at",1.99e-06,"4H.31",7.35e-07,"4H.31","n/a","<none>"
"Contig13172_at",0.00062386,"2H.63",7.35e-07,"1H.06","iPacMan","11/06/02 AAN06859.1   1e-44 (AC105729) Unknown protein [Oryza sativa (japonica cultivar-group)]"
"Contig13173_at",4.53e-05,"2H.67",0.000222554,"4H.15","n/a","11/06/02 AAB07885.1   2e-46 (U63815) similar to protein disulfide isomerase [Arabidopsis thaliana]"
"Contig13174_at",0.107349537,"5H.20",1.85e-06,"1H.06","iPacMan","11/08/02 NP_564719.1  2e-27 (NM_104526) hypothetical protein; protein id: At1g56505.1 [Arabidopsis thaliana]"
"Contig13177_at",0.003351565,"2H.66",8.87e-06,"1H.05","n/a","10/29/02 BAC10210.1   4e-07 (AP004395) hypothetical protein~predicted by FGENESH etc. [Oryza sativa (japonica cultivar-group)]"
"Contig13178_at",0.123882212,"2H.66",0.158466089,"3H.53","n/a","11/04/02 NP_194194.1  4e-78 putative protein; protein id: At4g24630.1 [Arabidopsis thaliana] pir||T05571 hypothetical protein F22K18.170 - Arabidopsis thaliana"
"Contig13179_at",0.292170819,"4H.19",0.05832539,"7H.14","n/a"," 11/06/02 NP_171871.1  3e-50 (NM_100254) helicase"
"Contig13183_at",0.064943824,"1H.04",0.251099993,"2H.67","n/a"," 10/27/02 NP_178182.1  e-106 mRNA export protein"
"Contig13183_s_at",0.060208563,"1H.04",0.137101032,"4H.34","n/a"," 10/27/02 NP_178182.1  e-106 mRNA export protein"
"Contig13185_at",0.225441775,"3H.47",0.123940062,"6H.40","n/a","10/02/02 AAM93212.1   7e-20 (AF527611) histone deacetylase HDA110 isoform 1 [Zea mays]"
"Contig13186_at",0.013688078,"2H.66",0.207815808,"2H.01","n/a","11/04/02 NP_179875.1  1e-70 (NM_127856) putative amino acid acetyltransferase; protein id: At2g22910.1 [Arabidopsis thaliana]"
"Contig13187_at",0.019750141,"4H.03",0.253209348,"3H.10","n/a"," 11/06/02 NP_564893.1  3e-93 (NM_105400) expressed protein; protein id: At1g67320.1"
"Contig13188_at",0.15541619,"2H.68",0.051391782,"1H.05","n/a"," 11/08/02 NP_191164.1  7e-51 (NM_115463) putative protein kinase; protein id: At3g56050.1"
"Contig13189_at",1.99e-06,"2H.67",7.35e-07,"1H.05","PacMan","<none>"
"Contig13190_at",0.202733123,"3H.47",0.022995679,"1H.02","n/a","11/07/02 AAG46134.1   5e-80 unknown protein [Oryza sativa]"
"Contig13191_at",0.199974228,"3H.32",0.015099071,"1H.25","n/a","11/04/02 BAA75232.1   8e-04 H+/Ca2+ exchanger 2 [Ipomoea nil]"
"Contig13191_s_at",0.009729328,"2H.68",0.040533793,"1H.06","iPacMan","11/04/02 BAA75232.1   8e-04 H+/Ca2+ exchanger 2 [Ipomoea nil]"
"Contig13194_at",0.000167967,"2H.67",7.35e-07,"1H.05","n/a"," 11/07/02 NP_683315.1  4e-47 (NM_148474) unknown protein; protein id: At1g20225.1"
"Contig13197_at",2.7e-06,"2H.65",6.66e-06,"1H.06","n/a"," 11/06/02 BAB92303.1   2e-82 (AP003253) hypothetical protein~similar to Arabidopsis thaliana chromosome 4"
"Contig13198_at",6.62e-05,"2H.66",0.062725665,"3H.12","n/a","11/04/02 AAM20655.1   3e-59 unknown protein [Arabidopsis thaliana] dbj|BAC43355.1| unknown protein [Arabidopsis thaliana]"
"Contig132_at",0.027483862,"3H.44",0.02415256,"1H.48","n/a","10/13/02 O48558       6e-52 60S RIBOSOMAL PROTEIN L30 pir||T01411 ribosomal protein L30 - maize"
"Contig13200_at",0.01027859,"5H.09",0.018043706,"1H.08","n/a","11/06/02 AAK55449.1   9e-50 (AC069300) putative transcription factor [Oryza sativa (japonica cultivar-group)]"
"Contig13201_at",0.003001819,"1H.47",0.001209864,"1H.03","n/a"," 11/04/02 NP_568919.1  2e-15 pseudo-response regulator - like; protein id: At5g60100.1"
"Contig13202_at",0.081542664,"7H.43",0.223921918,"6H.21","n/a","<none>"
"Contig13203_at",0.11805138,"3H.51",6.66e-06,"1H.04","n/a","01/29/03 BAB68097.1   8e-69 B1088C09.3 [Oryza sativa (japonica cultivar-group)]"
"Contig13204_at",0.00017322,"2H.66",0.002937817,"1H.03","n/a","11/08/02 NP_192753.1  2e-13 (NM_117083) putative protein; protein id: At4g10150.1 [Arabidopsis thaliana]"
"Contig13205_at",0.093815755,"1H.26",5.71e-06,"1H.06","n/a"," 11/06/02 NP_565937.1  6e-80 (NM_129627) expressed protein; protein id: At2g40650.1"
"Contig13206_at",1.99e-06,"5H.47",7.35e-07,"5H.47","n/a","11/08/02 AAN41292.1   2e-56 unknown protein [Arabidopsis thaliana]"
"Contig13208_at",0.073247202,"5H.58",0.218991593,"3H.29","n/a","10/02/02 NP_197051.1  3e-75 putative protein; protein id: At5g15470.1 [Arabidopsis thaliana] pir||T51525 hypothetical protein T20K14_80 - Arabidopsis thaliana"
"Contig13209_at",0.106957462,"2H.63",0.037726161,"5H.23","n/a"," 10/29/02 NP_671907.1  1e-22 (NM_147362) similar to putative poly(ADP-ribose) glycohydrolase; protein id: At2g31865.1"
"Contig1321_at",7.5e-05,"2H.65",0.003232042,"1H.05","n/a","10/29/02 P13565       5e-80 CALMODULIN sp|P29612|CALM_ORYSA CALMODULIN"
"Contig13210_at",1.99e-06,"2H.67",7.35e-07,"1H.05","PacMan","11/08/02 BAB56067.1   8e-93 (AP003106) putative tyrosine/DOPA decarboxylase [Oryza sativa (japonica cultivar-group)]"
"Contig13212_at",0.23926621,"6H.27",0.049122608,"7H.26","n/a"," 10/27/02 NP_190834.1  5e-63 (NM_115126) RRM-containing RNA-binding protein"
"Contig13214_at",0.319738094,"7H.46",0.056710108,"1H.05","n/a","11/06/02 NP_180551.1  1e-31 (NM_128544) putative presenilin; protein id: At2g29900.1 [Arabidopsis thaliana]"
"Contig13215_at",0.282524102,"1H.02",0.034984393,"7H.34","n/a"," 10/29/02 T07612       4e-85 cellulase (EC 3.2.1.4) Cel3"
"Contig13216_at",3.21e-05,"2H.66",0.000339893,"1H.05","n/a","10/27/02 AAL79731.1   3e-96 (AC091774) putative protein phosphatase [Oryza sativa]"
"Contig13217_at",0.002009149,"2H.66",2.97e-06,"1H.05","n/a","11/06/02 T02053       2e-85 S-receptor kinase (EC 2.7.1.-) KIK1 precursor - maize gb|AAB93834.1| (U82481) KI domain interacting kinase 1 [Zea mays]"
"Contig13218_at",0.045362212,"5H.20",7.35e-07,"1H.03","PacMan","<none>"
"Contig13219_at",0.256252503,"6H.41",0.247563956,"5H.07","n/a","11/07/02 NP_671954.1  5e-09 (NM_147405) RRM-containing RNA-binding protein; protein id: At2g42245.1 [Arabidopsis thaliana]"
"Contig13220_at",0.239050213,"4H.33",0.03881379,"1H.05","n/a","11/06/02 T00933       4e-30 RNA-binding protein homolog T24P15.15 - Arabidopsis thaliana gb|AAB88654.1| (AC002561) putative RNA-binding protein [Arabidopsis thaliana]"
"Contig13221_at",1.99e-06,"2H.67",1.76e-05,"1H.08","PacMan","11/06/02 CAD41134.1   8e-83 (AL606613) OSJNBa0084K20.14 [Oryza sativa (japonica cultivar-group)]"
"Contig13222_at",1.91e-05,"6H.27",7.35e-07,"6H.27","n/a"," 10/27/02 NP_565571.1  2e-38 putative replication protein A1; protein id: At2g24490.1"
"Contig13223_at",0.110402919,"3H.47",0.023287772,"1H.05","n/a","10/29/02 NP_197078.1  e-100 (NM_121579) putative protein; protein id: At5g15740.1 [Arabidopsis thaliana]"
"Contig13226_at",0.240569297,"3H.02",7.35e-07,"1H.05","n/a"," 10/27/02 BAB90160.1   3e-13 (AP003379) contains ESTs AU068359(C30021)"
"Contig13226_s_at",0.141678003,"3H.48",7.35e-07,"1H.05","n/a"," 10/27/02 BAB90160.1   3e-13 (AP003379) contains ESTs AU068359(C30021)"
"Contig13227_at",0.000916646,"3H.57",0.009877683,"3H.56","n/a","10/02/02 AAL01182.1   7e-19 Hypothetical protein [Oryza sativa]"
"Contig13228_at",0.030171113,"7H.23",1.85e-06,"1H.05","n/a","11/06/02 CAA71371.1   9e-89 (Y10342) putative amidase [Arabidopsis thaliana]"
"Contig1323_s_at",0.210289487,"6H.18",0.076571912,"1H.02","n/a","11/06/02 BAA87825.1   1e-73 unnamed protein product [Oryza sativa (japonica cultivar-group)]"
"Contig13230_at",0.014492412,"4H.34",0.002146571,"1H.05","n/a","10/02/02 NP_197696.1  6e-69 (NM_122211) acetyl-CoA synthetase-like protein; protein id: At5g23050.1 [Arabidopsis thaliana]"
"Contig13231_at",0.247141601,"2H.34",7.35e-07,"7H.35","n/a","<none>"
"Contig13233_at",0.283809231,"3H.32",0.048826654,"7H.29","n/a","<none>"
"Contig13234_at",0.320201347,"5H.37",0.000360114,"1H.06","n/a","11/08/02 NP_680735.1  2e-67 unknown protein; protein id: At4g21705.1 [Arabidopsis thaliana]"
"Contig13235_at",0.049106559,"2H.63",0.164715688,"4H.10","n/a","11/06/02 NP_178208.1  e-110 (NM_106741) unknown protein; protein id: At1g80930.1 [Arabidopsis thaliana]"
"Contig13236_at",0.01993597,"2H.67",0.000606623,"4H.20","n/a"," 11/06/02 BAB89439.1   3e-74 (AP003201) hypothetical protein~similar to Oryza sativa chromosome 1"
"Contig13237_at",0.000123583,"2H.66",7.53e-06,"1H.05","PacMan"," 11/06/02 BAB39914.1   1e-92 (AP002912) hypothetical protein~similar to Arabidopsis thaliana chromosome 3"
"Contig13238_at",2.7e-06,"2H.67",0.052812606,"4H.13","n/a"," 11/06/02 CAC20594.1   e-170 (AJ300144) stress responsive gene 6 protein"
"Contig13239_at",2.7e-06,"3H.02",7.35e-07,"3H.02","n/a","<none>"
"Contig1324_at",0.080917181,"5H.20",7.35e-07,"1H.05","n/a","11/06/02 BAB69673.1   5e-58 (AB060552) Calmodulin-2 [Oryza sativa (japonica cultivar-group)]"
"Contig13240_s_at",0.102899921,"5H.08",0.107609725,"7H.26","n/a","10/26/02 CAD29475.1   1e-99 (AJ440791) glutathione transferase F2 [Triticum aestivum]"
"Contig13241_at",2.7e-06,"2H.66",7.35e-07,"1H.05","n/a","11/07/02 BAB89435.1   1e-52 B1066G12.9 [Oryza sativa (japonica cultivar-group)]"
"Contig13242_at",0.000690253,"2H.66",0.129722943,"1H.05","n/a","11/08/02 NP_194913.1  1e-57 (NM_119335) putative protein; protein id: At4g31850.1 [Arabidopsis thaliana]"
"Contig13243_s_at",0.00888155,"2H.66",0.001053093,"1H.05","n/a","11/07/02 NP_194913.1  1e-49 (NM_119335) putative protein; protein id: At4g31850.1 [Arabidopsis thaliana]"
"Contig13245_at",0.000138409,"2H.67",0.000417866,"1H.04","n/a","10/27/02 NP_181681.1  e-102 putative small nuclear ribonucleoprotein Prp4p; protein id: At2g41500.1 [Arabidopsis thaliana]"
"Contig13246_at",0.000264074,"2H.67",0.015052744,"1H.47","n/a","10/26/02 BAA92904.1   e-100 (AP001539) EST C98176(C0955) corresponds to a region of the predicted gene.~Similar to Arabidopsis thaliana chromosome II BAC"
"Contig13248_at",2.7e-06,"2H.67",0.013478357,"3H.12","n/a","11/06/02 CAD40043.1   1e-82 (AL606590) OSJNBa0052O21.28 [Oryza sativa (japonica cultivar-group)]"
"Contig13249_at",1.99e-06,"7H.15",7.35e-07,"7H.15","n/a","<none>"
"Contig1325_s_at",1.22e-05,"3H.40",7.35e-07,"3H.39","n/a","11/04/02 BAB86550.1   2e-04 putative 5-3 exoribonuclease [Oryza sativa (japonica cultivar-group)]"
"Contig13250_at",0.067556521,"1H.03",0.000553177,"1H.05","n/a"," 11/08/02 BAA95814.1   6e-86 ESTs AU082579(S2069)"
"Contig13251_at",0.071123027,"2H.13",0.002966777,"2H.14","n/a"," 11/08/02 A48018       1e-04 mucin 7 precursor"
"Contig13252_s_at",0.000105191,"2H.66",2.42e-06,"1H.05","n/a","11/08/02 BAB63567.1   2e-20 putative receptor protein kinase-like protein [Oryza sativa (japonica cultivar-group)]"
"Contig13253_at",0.000111818,"2H.66",6.22e-06,"1H.05","n/a","01/29/03 BAB63567.1   7e-28 putative receptor protein kinase-like protein [Oryza sativa (japonica cultivar-group)]"
"Contig13254_at",0.028262446,"1H.03",0.268238292,"5H.29","n/a","11/07/02 O24575       3e-77 S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SamDC) [Contains: S-adenosylmethionine decarboxylase alpha"
"Contig13255_at",2.7e-06,"7H.28",0.018697786,"1H.08","n/a","10/02/02 NP_196259.1  2e-50 (NM_120724) putative protein; protein id: At5g06410.1 [Arabidopsis thaliana]"
"Contig13256_at",0.00041016,"5H.14",7.35e-07,"1H.05","n/a","11/06/02 CAA70953.1   5e-45 hypothetical protein [Arabidopsis thaliana]"
"Contig13257_at",0.012392009,"2H.65",0.229704791,"2H.20","n/a","11/04/02 NP_193404.1  4e-42 (NM_117772) hypothetical protein; protein id: At4g16710.1 [Arabidopsis thaliana]"
"Contig1326_s_at",0.002343812,"3H.50",0.113441759,"5H.40","n/a","11/06/02 P26154       8e-39 Cold-regulated protein BLT14 pir||S16161 BLT14 protein - barley"
"Contig13261_at",0.223838312,"1H.02",0.038494137,"3H.57","n/a","11/07/02 NP_193109.1  3e-76 putative protein; protein id: At4g13730.1 [Arabidopsis thaliana] pir||T05242 hypothetical protein F18A5.120 - Arabidopsis thaliana"
"Contig13262_at",0.057074394,"2H.66",7.35e-07,"1H.05","n/a","10/13/02 NP_176960.1  5e-74 (NM_105463) golgi transport complex protein-related; protein id: At1g67930.1 [Arabidopsis thaliana]"
"Contig13263_at",0.249118932,"5H.17",0.05699204,"5H.02","n/a","<none>"
"Contig13264_at",1.99e-06,"7H.30",7.35e-07,"7H.30","n/a","11/08/02 AAM08612.1   1e-07 Putative disease resistance protein [Oryza sativa (japonica cultivar-group)]"
"Contig13265_at",0.127741553,"3H.49",7.35e-07,"1H.05","n/a","11/07/02 AAM92825.1   4e-97 unknown protein [Oryza sativa (japonica cultivar-group)]"
"Contig13267_at",0.218449491,"3H.56",0.135577897,"1H.37","n/a"," 11/08/02 NP_027676.1  8e-74 (NM_126544) expressed protein; protein id: At2g05170.1"
"Contig13268_at",0.091602316,"2H.68",0.035440414,"5H.13","n/a"," 10/13/02 NP_198972.1  1e-37 (NM_123521) WRKY family transcription factor; protein id: At5g41570.1"
"Contig1327_at",0.104474646,"5H.20",0.07874799,"1H.05","n/a","11/04/02 P13565       4e-80 CALMODULIN sp|P29612|CALM_ORYSA CALMODULIN"
"Contig13271_at",0.189360602,"5H.56",0.000434726,"1H.04","n/a","11/06/02 AAL58188.1   e-103 (AC027037) unknown protein [Oryza sativa]"
"Contig13272_at",0.036229866,"7H.26",0.000556632,"7H.24","n/a"," 10/31/02 NP_563966.1  5e-53 (NM_101390) expressed protein; protein id: At1g15220.1"
"Contig13273_at",0.139790471,"5H.52",0.115822002,"1H.30","n/a","10/29/02 AAL84293.1   1e-96 (AC073556) putative Kelch motif containing protein [Oryza sativa (japonica cultivar-group)]"
"Contig13274_at",0.102951623,"3H.50",0.000583381,"1H.03","n/a","11/08/02 AAC33218.1   2e-42 (AC003970) Similar to cdc2 protein kinases [Arabidopsis thaliana]"
"Contig13277_at",0.01863566,"2H.67",0.053271783,"2H.63","n/a"," 10/02/02 NP_564144.1  4e-41 (NM_102009) expressed protein; protein id: At1g21600.1"
"Contig13278_at",0.125270763,"5H.13",1.88e-05,"1H.08","n/a","10/28/02 S71467       1e-077 diacylglycerol kinase (EC 2.7.1.107) ATDGK1 - Arabidopsis thaliana dbj|BAA09856.1| diacylglycerol kinase [Arabidopsis thaliana]"
"Contig1328_s_at",0.00202626,"2H.63",0.027071961,"1H.08","PacMan","11/04/02 CAA46150.1   7e-80 calmodulin [Oryza sativa] emb|CAA74307.1| calmodulin [Zea mays]"
"Contig13280_at",0.106699744,"2H.66",0.005470126,"1H.04","n/a","01/29/03 BAC22545.1   3e-31 putative cell differentiation protein [Oryza sativa (japonica cultivar-group)]"
"Contig13281_at",0.109613947,"4H.21",0.001249693,"1H.06","n/a"," 11/08/02 NP_565751.2  1e-12 (NM_128835) hypothetical protein; protein id: At2g32760.1"
"Contig13282_at",0.038819561,"4H.18",0.027448681,"1H.05","n/a","10/02/02 AAF19757.1   1e-86 (AC009917) F26G16.16 [Arabidopsis thaliana]"
"Contig13283_at",0.004288164,"2H.65",0.075569115,"4H.16","n/a","11/06/02 T12219       7e-33 glutaredoxin I - common ice plant gb|AAC08402.1| glutaredoxin I [Mesembryanthemum crystallinum]"
"Contig13285_at",0.301303901,"1H.44",0.063256615,"5H.55","n/a"," 11/06/02 BAB39917.1   1e-88 (AP002912) hypothetical protein~similar to Arabidopsis thaliana chromosome 1"
"Contig13286_at",0.021872426,"6H.11",0.1739046,"7H.63","n/a","11/06/02 BAB21100.1   4e-09 (AB054528) relating to carbonate stress~unidentified [Oryza sativa (japonica cultivar-group)]"
"Contig13287_at",1.99e-06,"2H.67",7.35e-07,"1H.05","iPacMan"," 11/08/02 BAC15901.1   1e-46 (AP003810) contains ESTs C27019(C50719)"
"Contig13288_at",2.7e-06,"2H.67",7.35e-07,"1H.05","n/a","10/02/02 AAD42043.1   8e-78 (AF095896) lipoxygenase [Oryza sativa] [Oryza sativa (japonica cultivar-group)]"
"Contig13289_at",3.99e-05,"3H.25",0.000142501,"3H.19","n/a"," 10/02/02 BAB40105.1   1e-97 (AP003210) contains ESTs AU030536(E51208)"
"Contig13290_at",0.057203208,"3H.21",0.006974449,"1H.06","n/a"," 10/02/02 BAB92521.1   2e-43 (AP003339) contains ESTs AU091860(E0222)"
"Contig13291_s_at",2.7e-06,"2H.67",1.3e-06,"1H.05","n/a","<none>"
"Contig13292_at",0.301889954,"5H.30",0.228606385,"7H.10","n/a","<none>"
"Contig13293_at",0.002475441,"2H.67",0.002486355,"5H.37","n/a","11/06/02 AAF27053.1   1e-16 F4N2.3 [Arabidopsis thaliana]"
"Contig13294_at",0.073877196,"2H.63",0.01890502,"1H.04","n/a","10/29/02 AAL92460.1   5e-45 cis-zeatin O-glucosyltransferase 2 [Zea mays]"
"Contig13295_at",0.210974276,"1H.38",0.000340127,"4H.10","n/a","<none>"
"Contig13296_at",0.000327107,"2H.66",0.178079442,"7H.27","n/a"," 11/06/02 BAB39916.1   2e-93 hypothetical protein~similar to Arabidopsis thaliana chromosome 2"
"Contig13297_at",0.001764211,"2H.67",0.001125822,"2H.13","n/a","10/27/02 BAC21357.1   e-100 (AP003816) betaine aldehyde dehydrogenase-like [Oryza sativa (japonica cultivar-group)]"
"Contig13298_at",1.99e-06,"2H.66",0.000412988,"1H.06","iPacMan","<none>"
"Contig1330_at",0.022082425,"5H.19",0.033505353,"4H.20","n/a","10/29/02 AAC49582.1   3e-80 calmodulin TaCaM2-2 gb|AAC49583.1| calmodulin TaCaM2-3"
"Contig13302_at",1.99e-06,"5H.37",7.35e-07,"5H.37","n/a","<none>"
"Contig13303_at",0.097776042,"2H.67",0.094097411,"4H.13","n/a"," 10/27/02 NP_565457.1  8e-07 (NM_127522) putative SET-domain transcriptional regulator; protein id: At2g19640.1"
"Contig13304_at",0.051266742,"1H.02",0.013573785,"2H.27","n/a","11/04/02 CAD40667.1   1e-65 OSJNBb0118P14.5 [Oryza sativa (japonica cultivar-group)]"
